"CodeClass"	"Name"	"Accession"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33301_01_dDTxjdW.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33456_02_RO95ZEC.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33461_03_W9LHxa0.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33463_04_5TcOKL1.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33466_05_pDWHTK3.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33467_06_8wKrE6M.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33501_07_EE20VNr.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33502_08_soM9mTV.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33504_09_REk8ct4.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33855_10_leTLeM7.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33856_11_qaTZRZi.RCC"	"X.home.john.projects.ns.ns.media.uploads.input_file.2019.11.23.20190628_CFMPB576run4_CF33857_12_k6VKIU7.RCC"
"CCNO"	"Endogenous"	"CCNO"	"NM_021147.4"	3.88994284094353	14.6690622836018	1.55701793956198	3.41618973184798	2.86465735797746	1.70277358644026	20.8869543743215	10.5273392240134	1.17766373714522	15.2864533576623	2.92230695021188	0.91530913527232
"MYC"	"Endogenous"	"MYC"	"NM_002467.3"	285.19130574883	1188.7139144051	788.617234546649	824.463711634975	788.376094368193	614.324093012914	835.809667756649	3886.39015930809	430.328218799269	321.247952349042	359.941351505209	554.008983675125
"CD79A"	"Endogenous"	"CD79A"	"NM_001783.3"	779.214046548659	1001.86040988162	24.1214262217152	3.41618973184798	1533.18700744233	735.221017650173	1063.63752311085	422.895554607679	1.17766373714522	94.2180102783107	57.0551584711862	736.599099524181
"FSTL3"	"Endogenous"	"FSTL3"	"NM_005860.2"	152.93324915675	283.608499430109	187.608309875724	581.914240673768	281.331742006182	176.711281297766	8.76260982131535	96.5480386632628	219.526409850275	28.3060916126146	113.765764826493	66.3922311452838
"VCAN"	"Endogenous"	"VCAN"	"NM_001126336.2"	7524.37493274474	2524.770475651	15779.5859566494	12890.445844522	9488.34049054575	9519.82995009549	2640.90729094761	8086.79850968945	7314.9504261502	280.561582802316	642.205505864575	1422.24361618186
"CX3CL1"	"Endogenous"	"CX3CL1"	"NM_002996.3"	277.411420066943	230.684674449471	198.507435452657	335.948579980714	195.392021266858	217.577847372333	8.76260982131535	1928.3050636416	68.7854514956875	50.2767311678466	305.164061275652	106.849516289681
"ERBB2"	"Endogenous"	"ERBB2"	"NM_004448.2"	149.043306315807	498.544033535149	78.6170541063846	192.468611243098	95.1290137376466	270.363828551981	1256.41493917979	643.969678311961	118.247328455787	605.510054248835	358.652474088043	311.79760550801
"FAM124B"	"Endogenous"	"FAM124B"	"NM_001122779.1"	59.5746209741053	13.5889842227724	36.5775697382111	25.0753143825473	49.2944960100072	57.5171302469478	8.76260982131535	12.3293248711554	57.0088141242353	7.96290683925157	24.8332230420348	9.43263232356649
"AKT1"	"Endogenous"	"AKT1"	"NM_005163.2"	934.8117601864	1180.07328991847	1159.1875041624	1535.03117585936	1467.29988820885	1533.82182969066	1308.99059810768	1749.34029683337	1278.24610954382	927.47485859526	1223.48922100647	1471.75055721382
"KDR"	"Endogenous"	"KDR"	"NM_002253.2"	3.88994284094353	40.5909357435061	134.669699930616	148.058144729075	252.685168426407	173.305734124886	47.1747838382675	10.5273392240134	549.272256250936	35.0871532037356	143.409945421312	113.76984138017
"EGF"	"Endogenous"	"EGF"	"NM_001178130.2"	3.88994284094353	1.08007806082935	1.55701793956198	3.41618973184798	2.86465735797746	1.70277358644026	8.76260982131535	10.5273392240134	1.17766373714522	0.27124246364484	0.644438708583027	0.532332699268386
"MAGEA12"	"Endogenous"	"MAGEA12"	"NM_001166386.1"	3.88994284094353	1.08007806082935	1.55701793956198	3.41618973184798	2.86465735797746	1.70277358644026	8.76260982131535	10.5273392240134	1.17766373714522	0.27124246364484	0.644438708583027	0.532332699268386
"IFNA1"	"Endogenous"	"IFNA1"	"NM_024013.1"	3.88994284094353	1.08007806082935	1.55701793956198	3.41618973184798	2.86465735797746	1.70277358644026	8.76260982131535	10.5273392240134	1.17766373714522	0.27124246364484	0.644438708583027	0.532332699268386
"TGFB3"	"Endogenous"	"TGFB3"	"NM_001329938.1"	3023.71106577308	1207.0752414392	1347.5866748494	2587.21761326853	1326.93167766796	1796.04896200246	415.204396333512	2896.82027225083	371.445031942008	26.6786368307455	124.076784163821	108.978847086755
"MFGE8"	"Endogenous"	"MFGE8"	"NM_001114614.1"	1125.41895939263	992.139707334161	1360.0428183659	4462.70577605307	1914.18643605334	2226.85067937184	336.340907941674	5876.05727264663	1935.38247487085	182.643053426529	951.536085984428	741.922426516865
